연월,customer_id,cnt
2018-04,AS002855,4
2018-04,AS009013,2
2018-04,AS009373,3
2018-04,AS015315,6
2018-04,AS015739,7
2018-04,AS015746,4
2018-04,AS019860,6
2018-04,AS024181,4
2018-04,AS030404,1
2018-04,AS031206,4
2018-04,AS036678,7
2018-04,AS038564,6
2018-04,AS040841,8
2018-04,AS040860,6
2018-04,AS046594,9
2018-04,AS047907,3
2018-04,AS055659,7
2018-04,AS055680,3
2018-04,AS057808,8
2018-04,AS058623,6
2018-04,AS060041,7
2018-04,AS065870,6
2018-04,AS069821,5
2018-04,AS070625,6
2018-04,AS071660,8
2018-04,AS073168,8
2018-04,AS073285,7
2018-04,AS077151,5
2018-04,AS082596,7
2018-04,AS092144,6
2018-04,AS098763,8
2018-04,AS099118,5
2018-04,AS099984,4
2018-04,AS105107,6
2018-04,AS107662,7
2018-04,AS108195,4
2018-04,AS108507,4
2018-04,AS113826,4
2018-04,AS115107,2
2018-04,AS123220,6
2018-04,AS124354,3
2018-04,AS132988,6
2018-04,AS136184,9
2018-04,AS137764,4
2018-04,AS141460,5
2018-04,AS147168,1
2018-04,AS147485,3
2018-04,AS152185,3
2018-04,AS157629,3
2018-04,AS158438,5
2018-04,AS161071,8
2018-04,AS169823,3
2018-04,AS170379,9
2018-04,AS171842,5
2018-04,AS171994,5
2018-04,AS174345,3
2018-04,AS175707,8
2018-04,AS177253,4
2018-04,AS183155,3
2018-04,AS185951,10
2018-04,AS186727,6
2018-04,AS189336,7
2018-04,AS190883,7
2018-04,AS193568,5
2018-04,AS194595,5
2018-04,AS196653,5
2018-04,AS197200,8
2018-04,AS200286,10
2018-04,AS206541,1
2018-04,AS207011,6
2018-04,AS210846,6
2018-04,AS211705,6
2018-04,AS211927,3
2018-04,AS212221,7
2018-04,AS218636,4
2018-04,AS220894,7
2018-04,AS222240,8
2018-04,AS227898,5
2018-04,AS235724,9
2018-04,AS237205,8
2018-04,AS240190,4
2018-04,AS240586,7
2018-04,AS248090,6
2018-04,AS248948,7
2018-04,AS251112,3
2018-04,AS251169,7
2018-04,AS256239,6
2018-04,AS258098,3
2018-04,AS259792,4
2018-04,AS263080,4
2018-04,AS272193,9
2018-04,AS273414,8
2018-04,AS275166,2
2018-04,AS275287,6
2018-04,AS275753,4
2018-04,AS280744,4
2018-04,AS282618,7
2018-04,AS288339,5
2018-04,AS288569,9
2018-04,AS294655,7
2018-04,AS297966,6
2018-04,AS299544,2
2018-04,AS303294,4
2018-04,AS305652,10
2018-04,AS305860,3
2018-04,AS309101,1
2018-04,AS310564,1
2018-04,AS311628,5
2018-04,AS319907,9
2018-04,AS320552,5
2018-04,AS321794,9
2018-04,AS335390,5
2018-04,AS339451,4
2018-04,AS342526,5
2018-04,AS345469,7
2018-04,AS345508,5
2018-04,AS346579,3
2018-04,AS347661,2
2018-04,AS351574,3
2018-04,AS352209,4
2018-04,AS353422,8
2018-04,AS354246,8
2018-04,AS356812,8
2018-04,AS359364,1
2018-04,AS363699,3
2018-04,AS365290,6
2018-04,AS369194,8
2018-04,AS369418,6
2018-04,AS371310,1
2018-04,AS373785,1
2018-04,AS374280,8
2018-04,AS377637,9
2018-04,AS383234,4
2018-04,AS385315,6
2018-04,AS386696,3
2018-04,AS390441,6
2018-04,AS394423,6
2018-04,AS399435,4
2018-04,AS404195,7
2018-04,AS404579,7
2018-04,AS410205,2
2018-04,AS412668,7
2018-04,AS417309,1
2018-04,AS417696,4
2018-04,AS428439,2
2018-04,AS430089,6
2018-04,AS430563,5
2018-04,AS435092,3
2018-04,AS436928,2
2018-04,AS448355,2
2018-04,AS450151,9
2018-04,AS453084,8
2018-04,AS453157,2
2018-04,AS453778,5
2018-04,AS454149,4
2018-04,AS458614,7
2018-04,AS460177,2
2018-04,AS460655,4
2018-04,AS460810,5
2018-04,AS462796,7
2018-04,AS462883,6
2018-04,AS462973,8
2018-04,AS466656,8
2018-04,AS467237,7
2018-04,AS467683,4
2018-04,AS468297,4
2018-04,AS470817,5
2018-04,AS473535,5
2018-04,AS475839,5
2018-04,AS476267,6
2018-04,AS477871,1
2018-04,AS480037,2
2018-04,AS488509,6
2018-04,AS491316,4
2018-04,AS491747,10
2018-04,AS494168,12
2018-04,AS495117,6
2018-04,AS499352,7
2018-04,AS499893,4
2018-04,AS501123,7
2018-04,AS502510,8
2018-04,AS506797,7
2018-04,AS509237,9
2018-04,AS512827,4
2018-04,AS515526,6
2018-04,AS515541,9
2018-04,AS515861,3
2018-04,AS516140,6
2018-04,AS516396,7
2018-04,AS518169,6
2018-04,AS529972,6
2018-04,AS531034,9
2018-04,AS534058,3
2018-04,AS535481,4
2018-04,AS543483,1
2018-04,AS546422,8
2018-04,AS546865,6
2018-04,AS547635,10
2018-04,AS548544,8
2018-04,AS550302,8
2018-04,AS552198,6
2018-04,AS554975,6
2018-04,AS563124,5
2018-04,AS569518,9
2018-04,AS571298,5
2018-04,AS574816,4
2018-04,AS575508,4
2018-04,AS575700,3
2018-04,AS581751,8
2018-04,AS582110,1
2018-04,AS582607,4
2018-04,AS584189,7
2018-04,AS586641,3
2018-04,AS587750,5
2018-04,AS588076,6
2018-04,AS588186,5
2018-04,AS589687,8
2018-04,AS594062,4
2018-04,AS603613,3
2018-04,AS614406,6
2018-04,AS614421,7
2018-04,AS618299,7
2018-04,AS621407,6
2018-04,AS621552,4
2018-04,AS622023,9
2018-04,AS625761,7
2018-04,AS625883,3
2018-04,AS627304,10
2018-04,AS628460,1
2018-04,AS628722,9
2018-04,AS632327,8
2018-04,AS634661,3
2018-04,AS636570,8
2018-04,AS637476,4
2018-04,AS639549,8
2018-04,AS642796,5
2018-04,AS645809,8
2018-04,AS647421,2
2018-04,AS648913,8
2018-04,AS649439,6
2018-04,AS650043,7
2018-04,AS656522,5
2018-04,AS660812,6
2018-04,AS662285,7
2018-04,AS662863,5
2018-04,AS670699,8
2018-04,AS671429,4
2018-04,AS676181,4
2018-04,AS677229,3
2018-04,AS677821,6
2018-04,AS679641,5
2018-04,AS693220,4
2018-04,AS699883,9
2018-04,AS700549,1
2018-04,AS700935,8
2018-04,AS703258,7
2018-04,AS704643,4
2018-04,AS706877,9
2018-04,AS707671,5
2018-04,AS712913,2
2018-04,AS716291,7
2018-04,AS717316,2
2018-04,AS719871,10
2018-04,AS721170,7
2018-04,AS723178,1
2018-04,AS726272,9
2018-04,AS726714,4
2018-04,AS727718,6
2018-04,AS732240,2
2018-04,AS734592,8
2018-04,AS734767,4
2018-04,AS736672,4
2018-04,AS741333,7
2018-04,AS742617,2
2018-04,AS744154,8
2018-04,AS756169,6
2018-04,AS756586,5
2018-04,AS756694,1
2018-04,AS758226,6
2018-04,AS761330,7
2018-04,AS766856,7
2018-04,AS771185,6
2018-04,AS771307,7
2018-04,AS772036,8
2018-04,AS776002,5
2018-04,AS777651,3
2018-04,AS779956,5
2018-04,AS781999,9
2018-04,AS786819,4
2018-04,AS790905,3
2018-04,AS795406,3
2018-04,AS798945,6
2018-04,AS799981,8
2018-04,AS800531,7
2018-04,AS811755,6
2018-04,AS812685,5
2018-04,AS814944,2
2018-04,AS818410,4
2018-04,AS823436,10
2018-04,AS824458,5
2018-04,AS826583,2
2018-04,AS828426,1
2018-04,AS834214,3
2018-04,AS834706,5
2018-04,AS838065,8
2018-04,AS840069,9
2018-04,AS842977,3
2018-04,AS844339,4
2018-04,AS846781,5
2018-04,AS857207,6
2018-04,AS860362,9
2018-04,AS866446,5
2018-04,AS867281,4
2018-04,AS868124,6
2018-04,AS868530,5
2018-04,AS869895,4
2018-04,AS870817,5
2018-04,AS873051,6
2018-04,AS875048,5
2018-04,AS879331,7
2018-04,AS886138,8
2018-04,AS886872,8
2018-04,AS888896,3
2018-04,AS890023,3
2018-04,AS896608,4
2018-04,AS897421,9
2018-04,AS902294,7
2018-04,AS913753,2
2018-04,AS914290,4
2018-04,AS917021,3
2018-04,AS918302,6
2018-04,AS920111,10
2018-04,AS924898,9
2018-04,AS925243,1
2018-04,AS926099,4
2018-04,AS926104,3
2018-04,AS928923,5
2018-04,AS929382,1
2018-04,AS929514,9
2018-04,AS931323,2
2018-04,AS931712,4
2018-04,AS933597,4
2018-04,AS934534,4
2018-04,AS936602,5
2018-04,AS938269,3
2018-04,AS941998,8
2018-04,AS942939,4
2018-04,AS945488,6
2018-04,AS946582,2
2018-04,AS950313,4
2018-04,AS957024,4
2018-04,AS961301,5
2018-04,AS963520,9
2018-04,AS969133,5
2018-04,AS970810,6
2018-04,AS977127,7
2018-04,AS978283,3
2018-04,AS980426,4
2018-04,AS981537,6
2018-04,AS984922,4
2018-04,AS988792,5
2018-04,AS988921,4
2018-04,AS992593,8
2018-04,AS992895,9
